====== Si (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 30 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 80000.E-02 AAA ;
  Layer # 1- Density = 17.54E22 atoms/cm3 = 3.5 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 224718.E-03 A   Straggling = 687195.E-04 A
 Ion Lateral Range = 428337.E-04 A   Straggling = 543344.E-04 A
 Ion Radial  Range = 670959.E-04 A   Straggling = 369524.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
4720100.E-04 34782172.E-06 41439904.E-06 65032401.E-06 27357491.E-06 
4800100.E-04 77408462.E-06 10171907.E-05 11336376.E-05 31517320.E-06 
4880100.E-04 39077611.E-06 40258118.E-06 65899867.E-06 33490000.E-06 
4960100.E-04 37128409.E-06 46169042.E-06 42541356.E-06 27324711.E-06 
5040100.E-04 35185998.E-06 43090038.E-06 68748988.E-06 57492884.E-06 
5120100.E-04 58206077.E-06 58206077.E-06 62146266.E-06 00000000.E+00 
5200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5280100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5360100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5440100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5520100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5680100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5760100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5840100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5920100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6080100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6160100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6240100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6320100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6400100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6480100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6560100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6640100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6720100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6880100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6960100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7040100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7120100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7280100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7360100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7440100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7520100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7680100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7760100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7840100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7920100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
