====== Si (30) into diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 30 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : diamond
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 559294.E-04 A   Straggling = 375273.E-04 A
 Ion Lateral Range = 223422.E-03 A   Straggling = 233657.E-03 A
 Ion Radial  Range = 229866.E-03 A   Straggling = 682539.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
5900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6100100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6300100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6400100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7100100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7300100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7400100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8100100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8300100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8400100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9100100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9200100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9300100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9400100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9500100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9700100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9800100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9900100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
