DEPTH,Ga,Si,O,C
7.00E+01,4.50E+03,4.92E+05,1.00E+06,1.80E+08
7.20E+01,4.00E+03,4.34E+05,8.58E+05,1.83E+08
7.40E+01,8.00E+03,3.67E+05,7.44E+05,1.84E+08
7.60E+01,1.15E+04,3.27E+05,6.53E+05,1.85E+08
7.80E+01,1.00E+04,2.88E+05,5.85E+05,1.87E+08
8.00E+01,1.00E+04,2.63E+05,5.49E+05,1.89E+08
8.20E+01,1.00E+04,2.36E+05,5.04E+05,1.91E+08
8.40E+01,9.00E+03,2.31E+05,4.46E+05,1.93E+08
8.60E+01,1.55E+04,1.97E+05,4.03E+05,1.95E+08
8.80E+01,2.05E+04,1.86E+05,3.64E+05,1.97E+08
9.00E+01,2.15E+04,1.67E+05,3.39E+05,1.98E+08
9.20E+01,1.85E+04,1.60E+05,3.14E+05,2.01E+08
9.40E+01,2.40E+04,1.45E+05,2.92E+05,2.02E+08
9.60E+01,2.55E+04,1.36E+05,2.53E+05,2.04E+08
9.80E+01,3.50E+04,1.21E+05,2.39E+05,2.06E+08
1.00E+02,3.70E+04,1.25E+05,2.22E+05,2.08E+08
1.02E+02,3.45E+04,1.04E+05,2.05E+05,2.10E+08
1.04E+02,3.30E+04,1.06E+05,2.25E+05,2.10E+08
1.06E+02,4.20E+04,9.45E+04,2.02E+05,2.13E+08
1.08E+02,4.85E+04,9.20E+04,1.97E+05,2.14E+08
1.10E+02,5.75E+04,8.75E+04,1.81E+05,2.16E+08
1.12E+02,5.70E+04,9.00E+04,1.86E+05,2.18E+08
1.14E+02,5.45E+04,9.20E+04,1.67E+05,2.20E+08
1.16E+02,5.85E+04,7.65E+04,1.57E+05,2.22E+08
1.18E+02,6.80E+04,7.55E+04,1.73E+05,2.22E+08
1.20E+02,6.45E+04,8.35E+04,1.38E+05,2.24E+08
1.22E+02,8.75E+04,6.40E+04,1.37E+05,2.26E+08
1.24E+02,8.45E+04,7.80E+04,1.50E+05,2.27E+08
1.26E+02,8.85E+04,7.15E+04,1.22E+05,2.29E+08
1.28E+02,9.40E+04,6.45E+04,1.32E+05,2.30E+08
1.30E+02,9.95E+04,5.15E+04,1.21E+05,2.31E+08
1.32E+02,1.14E+05,4.70E+04,1.04E+05,2.33E+08
1.34E+02,1.32E+05,5.60E+04,1.15E+05,2.34E+08
1.36E+02,1.26E+05,5.35E+04,9.75E+04,2.36E+08
1.38E+02,1.31E+05,5.95E+04,1.13E+05,2.36E+08
1.40E+02,1.40E+05,4.15E+04,1.02E+05,2.38E+08
1.42E+02,1.48E+05,4.75E+04,1.04E+05,2.39E+08
1.44E+02,1.61E+05,5.25E+04,1.05E+05,2.40E+08
1.46E+02,1.74E+05,3.85E+04,9.65E+04,2.41E+08
1.48E+02,1.90E+05,4.00E+04,8.55E+04,2.42E+08
1.50E+02,1.93E+05,4.35E+04,8.35E+04,2.41E+08
1.52E+02,1.99E+05,4.20E+04,9.05E+04,2.42E+08
1.54E+02,2.11E+05,4.30E+04,7.80E+04,2.42E+08
1.56E+02,2.19E+05,3.75E+04,6.40E+04,2.42E+08
1.58E+02,2.36E+05,3.55E+04,8.00E+04,2.44E+08
1.60E+02,2.58E+05,2.90E+04,6.75E+04,2.43E+08
1.62E+02,2.49E+05,3.55E+04,7.10E+04,2.44E+08
1.64E+02,2.74E+05,3.45E+04,6.85E+04,2.43E+08
1.66E+02,3.02E+05,3.25E+04,7.55E+04,2.43E+08
1.68E+02,3.09E+05,4.50E+04,6.65E+04,2.43E+08
1.70E+02,3.20E+05,3.30E+04,6.25E+04,2.43E+08
1.72E+02,3.06E+05,2.70E+04,5.95E+04,2.43E+08
1.74E+02,3.36E+05,2.85E+04,6.80E+04,2.42E+08
1.76E+02,3.56E+05,2.85E+04,5.20E+04,2.42E+08
1.78E+02,3.69E+05,2.50E+04,7.10E+04,2.40E+08
1.80E+02,3.80E+05,2.05E+04,5.95E+04,2.39E+08
1.82E+02,4.02E+05,3.00E+04,5.60E+04,2.38E+08
1.84E+02,4.30E+05,2.40E+04,4.95E+04,2.36E+08
1.86E+02,4.11E+05,2.75E+04,5.90E+04,2.35E+08
1.88E+02,4.81E+05,2.35E+04,6.00E+04,2.32E+08
1.90E+02,4.61E+05,2.50E+04,4.95E+04,2.29E+08
1.92E+02,4.90E+05,2.05E+04,5.40E+04,2.25E+08
1.94E+02,4.77E+05,2.15E+04,3.45E+04,2.20E+08
1.96E+02,5.10E+05,1.60E+04,4.25E+04,2.10E+08
1.98E+02,4.98E+05,2.40E+04,4.35E+04,1.91E+08
2.00E+02,5.22E+05,2.60E+04,2.85E+04,1.46E+08
