PL,STD
65821.42857,4520.126947
60022.85714,4736.854492
55528.57143,2127.372625
63342.85714,2279.515404
66214.28571,1994.516292
46428.57143,4017.343353
18328.57143,4494.335059
11500,2344.497103
8000,3390.181903
