DEPTH,N,Recoil
151000.E-05,1.3273E+06,1.3491E+08
301000.E-05,1.8360E+06,1.2659E+08
451000.E-05,2.1387E+06,9.4313E+07
601000.E-05,2.2360E+06,7.1719E+07
751000.E-05,2.3353E+06,7.3946E+07
901000.E-05,2.2740E+06,6.6865E+07
105100.E-04,2.3100E+06,5.5320E+07
120100.E-04,2.1713E+06,4.5186E+07
135100.E-04,1.9286E+06,3.6336E+07
150100.E-04,1.7320E+06,2.9573E+07
165100.E-04,1.5200E+06,2.4259E+07
180100.E-04,1.3793E+06,1.9811E+07
195100.E-04,1.1840E+06,1.5931E+07
210100.E-04,1.0240E+06,1.2823E+07
225100.E-04,8.1135E+05,1.0260E+07
240100.E-04,7.4201E+05,8.3394E+06
255100.E-04,5.8734E+05,6.4837E+06
270100.E-04,4.7934E+05,5.1180E+06
285100.E-04,3.9667E+05,3.9689E+06
300100.E-04,3.2600E+05,3.0481E+06
315100.E-04,2.2667E+05,2.3533E+06
330100.E-04,2.0267E+05,1.8133E+06
345100.E-04,1.4533E+05,1.4747E+06
360100.E-04,9.8001E+04,1.0380E+06
375100.E-04,7.3334E+04,7.9135E+05
390100.E-04,6.1334E+04,5.6667E+05
405100.E-04,3.7334E+04,4.5667E+05
420100.E-04,1.9334E+04,3.2667E+05
435100.E-04,2.0667E+04,2.4267E+05
450100.E-04,1.8667E+04,1.6734E+05
465100.E-04,1.5334E+04,1.2200E+05
480100.E-04,5.3334E+03,8.0001E+04
495100.E-04,6.0001E+03,6.7334E+04
510100.E-04,2.6667E+03,4.6667E+04
525100.E-04,3.3334E+03,3.2000E+04
540100.E-04,2.0000E+03,2.8000E+04
555100.E-04,6.6667E+02,1.8000E+04
570100.E-04,6.6667E+02,8.0001E+03
585100.E-04,6.6667E+02,1.0667E+04
600100.E-04,0.0000E+00,6.0001E+03
615100.E-04,0.0000E+00,5.3334E+03
630100.E-04,0.0000E+00,9.3334E+03
645100.E-04,6.6667E+02,3.3334E+03
660100.E-04,0.0000E+00,2.0000E+03
675100.E-04,0.0000E+00,6.6667E+02
690100.E-04,0.0000E+00,2.0000E+03
705100.E-04,0.0000E+00,1.3333E+03
720100.E-04,0.0000E+00,6.6667E+02
735100.E-04,0.0000E+00,0.0000E+00
750100.E-04,0.0000E+00,0.0000E+00
765100.E-04,0.0000E+00,6.6667E+02
780100.E-04,0.0000E+00,0.0000E+00
795100.E-04,0.0000E+00,0.0000E+00
810100.E-04,0.0000E+00,0.0000E+00
825100.E-04,0.0000E+00,0.0000E+00
840100.E-04,0.0000E+00,0.0000E+00
855100.E-04,0.0000E+00,0.0000E+00
870100.E-04,0.0000E+00,0.0000E+00
885100.E-04,0.0000E+00,0.0000E+00
900100.E-04,0.0000E+00,0.0000E+00
915100.E-04,0.0000E+00,0.0000E+00
930100.E-04,0.0000E+00,0.0000E+00
945100.E-04,0.0000E+00,0.0000E+00
960100.E-04,0.0000E+00,0.0000E+00
975100.E-04,0.0000E+00,0.0000E+00
990100.E-04,0.0000E+00,0.0000E+00
100510.E-03,0.0000E+00,0.0000E+00
102010.E-03,0.0000E+00,0.0000E+00
103510.E-03,0.0000E+00,0.0000E+00
105010.E-03,0.0000E+00,0.0000E+00
106510.E-03,0.0000E+00,0.0000E+00
108010.E-03,0.0000E+00,0.0000E+00
109510.E-03,0.0000E+00,0.0000E+00
111010.E-03,0.0000E+00,0.0000E+00
112510.E-03,0.0000E+00,0.0000E+00
114010.E-03,0.0000E+00,0.0000E+00
115510.E-03,0.0000E+00,0.0000E+00
117010.E-03,0.0000E+00,0.0000E+00
118510.E-03,0.0000E+00,0.0000E+00
120010.E-03,0.0000E+00,0.0000E+00
121510.E-03,0.0000E+00,0.0000E+00
123010.E-03,0.0000E+00,0.0000E+00
124510.E-03,0.0000E+00,0.0000E+00
126010.E-03,0.0000E+00,0.0000E+00
127510.E-03,0.0000E+00,0.0000E+00
129010.E-03,0.0000E+00,0.0000E+00
130510.E-03,0.0000E+00,0.0000E+00
132010.E-03,0.0000E+00,0.0000E+00
133510.E-03,0.0000E+00,0.0000E+00
135010.E-03,0.0000E+00,0.0000E+00
136510.E-03,0.0000E+00,0.0000E+00
138010.E-03,0.0000E+00,0.0000E+00
139510.E-03,0.0000E+00,0.0000E+00
141010.E-03,0.0000E+00,0.0000E+00
142510.E-03,0.0000E+00,0.0000E+00
144010.E-03,0.0000E+00,0.0000E+00
145510.E-03,0.0000E+00,0.0000E+00
147010.E-03,0.0000E+00,0.0000E+00
148510.E-03,0.0000E+00,0.0000E+00
150010.E-03,0.0000E+00,0.0000E+00
