xdata,ydata
2640000000,0.999751328
2642000000,0.999426642
2644000000,0.999533709
2646000000,0.999769489
2648000000,0.999846797
2650000000,0.999828824
2652000000,0.999978209
2654000000,1.000454414
2656000000,1.000155853
2658000000,0.999966774
2660000000,0.999672807
2662000000,1.000356681
2664000000,1.000071137
2666000000,1.000252014
2668000000,1.000030765
2670000000,1.000337704
2672000000,0.999703867
2674000000,0.999894521
2676000000,1.000563683
2678000000,1.000250633
2680000000,0.999499605
2682000000,0.999382396
2684000000,1.000217011
2686000000,1.000210301
2688000000,0.999757968
2690000000,1.000400136
2692000000,0.99944477
2694000000,0.999399643
2696000000,1.000238061
2698000000,0.999723319
2700000000,0.999717505
2702000000,0.999787089
2704000000,1.00001553
2706000000,0.999870578
2708000000,1.00004782
2710000000,0.999736162
2712000000,0.999559801
2714000000,0.999736444
2716000000,0.999286192
2718000000,0.999942472
2720000000,0.999747824
2722000000,0.999550831
2724000000,0.999484737
2726000000,0.999409713
2728000000,0.999489689
2730000000,0.998508145
2732000000,0.999774588
2734000000,0.999580666
2736000000,0.999649014
2738000000,1.000156454
2740000000,0.999507386
2742000000,0.999902169
2744000000,0.999653863
2746000000,0.999077615
2748000000,0.999358751
2750000000,0.998900511
2752000000,0.999476589
2754000000,0.999293871
2756000000,0.99943596
2758000000,0.998971807
2760000000,0.997764499
2762000000,0.997530155
2764000000,0.995734724
2766000000,0.99253901
2768000000,0.990003004
2770000000,0.989897313
2772000000,0.991474934
2774000000,0.994114672
2776000000,0.995537813
2778000000,0.99540104
2780000000,0.99484759
2782000000,0.993830286
2784000000,0.992124762
2786000000,0.988115123
2788000000,0.984494666
2790000000,0.98394782
2792000000,0.986128731
2794000000,0.991547921
2796000000,0.993836415
2798000000,0.99606579
2800000000,0.997186327
2802000000,0.998328152
2804000000,0.998490462
2806000000,0.998958369
2808000000,0.999573592
2810000000,0.999750825
2812000000,0.999773109
2814000000,0.999852024
2816000000,1.000497237
2818000000,0.999130697
2820000000,0.998946596
2822000000,0.999824598
2824000000,0.999494949
2826000000,0.999166799
2828000000,0.999852456
2830000000,0.998915246
2832000000,0.999208576
2834000000,0.999006262
2836000000,0.999865515
2838000000,0.998669613
2840000000,0.999212407
2842000000,0.998551467
2844000000,0.997341801
2846000000,0.997261575
2848000000,0.996314529
2850000000,0.997046487
2852000000,0.997732313
2854000000,0.998287288
2856000000,0.998351139
2858000000,0.997875596
2860000000,0.997708822
2862000000,0.99729758
2864000000,0.995851477
2866000000,0.994887814
2868000000,0.994543786
2870000000,0.995864839
2872000000,0.996849102
2874000000,0.99803521
2876000000,0.998540738
2878000000,0.999078726
2880000000,0.998217364
2882000000,0.997656558
2884000000,0.996232937
2886000000,0.994661038
2888000000,0.995349397
2890000000,0.995941849
2892000000,0.997534469
2894000000,0.998433574
2896000000,0.998356384
2898000000,0.998537651
2900000000,0.998640081
2902000000,0.998391232
2904000000,0.998361839
2906000000,0.998499625
2908000000,0.999140109
2910000000,0.998880179
2912000000,0.999497688
2914000000,0.999035379
2916000000,0.999510578
2918000000,0.999646027
2920000000,0.999519886
2922000000,0.999615057
2924000000,0.999746839
2926000000,0.999628565
2928000000,0.99968208
2930000000,0.999722164
2932000000,0.999108079
2934000000,0.999892762
2936000000,0.999918003
2938000000,0.999204996
2940000000,0.999687983
2942000000,0.999905773
2944000000,0.999081883
2946000000,0.998893951
2948000000,0.998354779
2950000000,0.998016239
2952000000,0.996784877
2954000000,0.99606786
2956000000,0.995344517
2958000000,0.995505197
2960000000,0.996485783
2962000000,0.997647838
2964000000,0.998153015
2966000000,0.998605433
2968000000,0.998616949
2970000000,0.999028913
2972000000,0.99831334
2974000000,0.998751806
2976000000,0.998504262
2978000000,0.998781949
2980000000,0.999248074
2982000000,0.999640546
2984000000,0.999269187
2986000000,0.999430847
2988000000,0.999654651
2990000000,0.999984886
2992000000,0.999348956
2994000000,0.999804744
2996000000,0.999950137
2998000000,1.000807613
3000000000,1.000152257
3002000000,0.999874004
3004000000,1.000128862
3006000000,1.000099625
3008000000,1.000624434
3010000000,0.999882205
3012000000,1.000586072
3014000000,1.000213154
3016000000,1.000111084
3018000000,1.000542156
3020000000,0.99991057
3022000000,1.000146016
3024000000,0.99990957
3026000000,1.000010312
3028000000,0.999752121
3030000000,1.000048997
3032000000,1.000233526
3034000000,1.000122112
3036000000,0.999628927
3038000000,1.000016381
3040000000,0.99969462
3042000000,1.000258394
3044000000,1.00015243
3046000000,0.99979686
3048000000,1.000171152
3050000000,0.999199914
3052000000,0.999976918
3054000000,0.999974015
3056000000,0.999949425
3058000000,1.000360245
3060000000,1.00026499
3062000000,0.999763778
3064000000,0.999470346
3066000000,1.000130749
3068000000,0.999934512
3070000000,0.999848218
3072000000,0.999735948
3074000000,0.999719907
3076000000,1.000054433
3078000000,0.999914431
3080000000,0.999924734
3082000000,1.000377022
3084000000,1.00035712
3086000000,1.00012047
3088000000,1.000279562
3090000000,0.99990468
3092000000,0.999882205
3094000000,1.000044133
3096000000,1.000465704
3098000000,0.999507957
3100000000,1.000230106
