====== Ga (30) into Diamond                     =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 70 keV
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
130100.E-04  127193.E-05  819890.E-05
260100.E-04  126228.E-05  159743.E-04
390100.E-04  127616.E-05  187027.E-04
520100.E-04  129781.E-05  204161.E-04
650100.E-04  131204.E-05  218821.E-04
780100.E-04  133900.E-05  232348.E-04
910100.E-04  136332.E-05  242611.E-04
104010.E-03  139144.E-05  252374.E-04
117010.E-03  141558.E-05  263492.E-04
130010.E-03  144545.E-05  272278.E-04
143010.E-03  147528.E-05  281826.E-04
156010.E-03  151049.E-05  291472.E-04
169010.E-03  153879.E-05  301960.E-04
182010.E-03  157021.E-05  310758.E-04
195010.E-03  160541.E-05  320786.E-04
208010.E-03  164029.E-05  329588.E-04
221010.E-03  168037.E-05  339170.E-04
234010.E-03  171163.E-05  349128.E-04
247010.E-03  173820.E-05  357110.E-04
260010.E-03  176841.E-05  366324.E-04
273010.E-03  181496.E-05  374539.E-04
286010.E-03  184293.E-05  382928.E-04
299010.E-03  187714.E-05  390602.E-04
312010.E-03  189255.E-05  397628.E-04
325010.E-03  192302.E-05  405437.E-04
338010.E-03  193735.E-05  409221.E-04
351010.E-03  194296.E-05  413140.E-04
364010.E-03  196258.E-05  415555.E-04
377010.E-03  196626.E-05  418573.E-04
390010.E-03  194806.E-05  417614.E-04
403010.E-03  194289.E-05  415764.E-04
416010.E-03  191797.E-05  413160.E-04
429010.E-03  188597.E-05  407545.E-04
442010.E-03  184604.E-05  400244.E-04
455010.E-03  180013.E-05  389428.E-04
468010.E-03  174458.E-05  377188.E-04
481010.E-03  167323.E-05  363362.E-04
494010.E-03  159034.E-05  346563.E-04
507010.E-03  150939.E-05  330333.E-04
520010.E-03  141281.E-05  310505.E-04
533010.E-03  131234.E-05  290725.E-04
546010.E-03  120488.E-05  269629.E-04
559010.E-03  109905.E-05  247323.E-04
572010.E-03  996656.E-06  224417.E-04
585010.E-03  888177.E-06  203146.E-04
598010.E-03  770892.E-06  182248.E-04
611010.E-03  683849.E-06  160446.E-04
624010.E-03  583939.E-06  140323.E-04
637010.E-03  492094.E-06  121701.E-04
650010.E-03  407512.E-06  102507.E-04
663010.E-03  336440.E-06  867254.E-05
676010.E-03  273291.E-06  730943.E-05
689010.E-03  215791.E-06  596885.E-05
702010.E-03  165934.E-06  489700.E-05
715010.E-03  127913.E-06  393769.E-05
728010.E-03  958416.E-07  318164.E-05
741010.E-03  716848.E-07  250461.E-05
754010.E-03  498623.E-07  198942.E-05
767010.E-03  345111.E-07  155010.E-05
780010.E-03  233304.E-07  118990.E-05
793010.E-03  154536.E-07  912639.E-06
806010.E-03  103150.E-07  726725.E-06
819010.E-03  614942.E-08  558479.E-06
832010.E-03  311616.E-08  427710.E-06
845010.E-03  237766.E-08  358319.E-06
858010.E-03  175586.E-08  293814.E-06
871010.E-03  907977.E-09  228389.E-06
884010.E-03  576590.E-09  184748.E-06
897010.E-03  160772.E-09  146273.E-06
910010.E-03  925700.E-10  118830.E-06
923010.E-03  892191.E-10  950054.E-07
936010.E-03  124573.E-10  794931.E-07
949010.E-03  488431.E-10  659085.E-07
962010.E-03  118207.E-10  516635.E-07
975010.E-03  000000.E+00  379000.E-07
988010.E-03  000000.E+00  308694.E-07
100101.E-02  000000.E+00  239761.E-07
101401.E-02  000000.E+00  161772.E-07
102701.E-02  000000.E+00  108180.E-07
104001.E-02  000000.E+00  710161.E-08
105301.E-02  000000.E+00  696609.E-08
106601.E-02  000000.E+00  489699.E-08
107901.E-02  000000.E+00  208347.E-08
109201.E-02  000000.E+00  105923.E-08
110501.E-02  000000.E+00  132658.E-08
111801.E-02  000000.E+00  942047.E-09
113101.E-02  000000.E+00  244931.E-09
114401.E-02  000000.E+00  489285.E-11
115701.E-02  000000.E+00  000000.E+00
117001.E-02  000000.E+00  000000.E+00
118301.E-02  000000.E+00  000000.E+00
119601.E-02  000000.E+00  000000.E+00
120901.E-02  000000.E+00  000000.E+00
122201.E-02  000000.E+00  000000.E+00
123501.E-02  000000.E+00  000000.E+00
124801.E-02  000000.E+00  000000.E+00
126101.E-02  000000.E+00  000000.E+00
127401.E-02  000000.E+00  000000.E+00
128701.E-02  000000.E+00  000000.E+00
130001.E-02  000000.E+00  000000.E+00
