====== Ga (30) into Diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 70 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 13000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 484520.E-03 A   Straggling = 127606.E-03 A
 Ion Lateral Range = 896000.E-04 A   Straggling = 112812.E-03 A
 Ion Radial  Range = 135151.E-03 A   Straggling = 724987.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7930100.E-04 83068925.E-06 10410793.E-05 13501967.E-05 65177118.E-06 
8060100.E-04 81486623.E-06 10290352.E-05 12170599.E-05 65117742.E-06 
8190100.E-04 96830276.E-06 12486786.E-05 12906060.E-05 74425521.E-06 
8320100.E-04 97409067.E-06 11680144.E-05 13157634.E-05 66334855.E-06 
8450100.E-04 79894975.E-06 12208104.E-05 12458981.E-05 75304148.E-06 
8580100.E-04 71930407.E-06 89368890.E-06 11874974.E-05 67745971.E-06 
8710100.E-04 96975674.E-06 13201972.E-05 13606529.E-05 85016587.E-06 
8840100.E-04 60929757.E-06 84655885.E-06 72406710.E-06 51512433.E-06 
8970100.E-04 63132643.E-06 70727246.E-06 11560474.E-05 20982640.E-07 
9100100.E-04 12760290.E-05 14663383.E-05 16982716.E-05 31329236.E-06 
9230100.E-04 15682158.E-05 15682158.E-05 15787832.E-05 00000000.E+00 
9360100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9490100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9620100.E-04 31784643.E-06 31784643.E-06 60264394.E-06 00000000.E+00 
9750100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9880100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1001010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1014010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1027010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1040010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1053010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1066010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1079010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1092010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1105010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1118010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1131010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1144010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1157010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1170010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1183010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1196010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1209010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1222010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1235010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1248010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1261010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1274010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1287010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1300010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
