DEPTH,Ga,Si,N,C,,,,,,,,,,
3.20E+02,9.11E-05,0.00E+00,0.00E+00,1.25E-02,,,,,,,,,,
3.24E+02,7.78E-05,0.00E+00,0.00E+00,1.04E-02,,,,,,,,,,
3.29E+02,5.56E-05,0.00E+00,0.00E+00,9.19E-03,,,,,,,,,,
3.33E+02,3.56E-05,0.00E+00,0.00E+00,8.07E-03,,,,,,,,,,
3.38E+02,2.00E-05,0.00E+00,0.00E+00,6.62E-03,,,,,,,,,,
3.42E+02,1.78E-05,0.00E+00,0.00E+00,5.42E-03,,,,,,,,,,
3.47E+02,6.67E-06,0.00E+00,0.00E+00,4.83E-03,,,,,,,,,,
3.51E+02,4.44E-06,0.00E+00,0.00E+00,4.09E-03,,,,,,,,,,
3.56E+02,4.44E-06,0.00E+00,0.00E+00,3.51E-03,,,,,,,,,,
3.60E+02,0.00E+00,0.00E+00,0.00E+00,2.80E-03,,,,,,,,,,
3.65E+02,0.00E+00,0.00E+00,0.00E+00,2.40E-03,,,,,,,,,,
3.69E+02,0.00E+00,0.00E+00,0.00E+00,2.03E-03,,,,,,,,,,
3.74E+02,0.00E+00,0.00E+00,0.00E+00,1.80E-03,,,,,,,,,,
3.78E+02,0.00E+00,0.00E+00,0.00E+00,1.50E-03,,,,,,,,,,
3.83E+02,0.00E+00,0.00E+00,0.00E+00,1.23E-03,,,,,,,,,,
3.87E+02,0.00E+00,0.00E+00,0.00E+00,1.05E-03,,,,,,,,,,
3.92E+02,0.00E+00,0.00E+00,0.00E+00,8.40E-04,,,,,,,,,,
3.96E+02,0.00E+00,0.00E+00,0.00E+00,6.80E-04,,,,,,,,,,
4.01E+02,0.00E+00,0.00E+00,0.00E+00,5.27E-04,,,,,,,,,,
4.05E+02,0.00E+00,0.00E+00,0.00E+00,4.47E-04,,,,,,,,,,
4.10E+02,0.00E+00,0.00E+00,0.00E+00,3.22E-04,,,,,,,,,,
4.14E+02,0.00E+00,0.00E+00,0.00E+00,3.31E-04,,,,,,,,,,
4.19E+02,0.00E+00,0.00E+00,0.00E+00,2.53E-04,,,,,,,,,,
4.23E+02,0.00E+00,0.00E+00,0.00E+00,2.47E-04,,,,,,,,,,
4.28E+02,0.00E+00,0.00E+00,0.00E+00,1.51E-04,,,,,,,,,,
4.32E+02,0.00E+00,0.00E+00,0.00E+00,1.62E-04,,,,,,,,,,
4.37E+02,0.00E+00,0.00E+00,0.00E+00,1.31E-04,,,,,,,,,,
4.41E+02,0.00E+00,0.00E+00,0.00E+00,6.22E-05,,,,,,,,,,
4.46E+02,0.00E+00,0.00E+00,0.00E+00,3.78E-05,,,,,,,,,,
4.50E+02,0.00E+00,0.00E+00,0.00E+00,2.22E-05,,,,,,,,,,
,,,,,,,,,,,,,,
,To,convert,to,Energy,Lost,-,multiply,by,Average,Binding,Energy,=,2.666667,eV/Vacancy
