DEPTH         Ga         Si          N          C    
369010.E-03  2.2222E+02  2.2222E+02  6.6667E+02  2.4534E+05
373510.E-03  0.0000E+00  0.0000E+00  2.0000E+03  2.1400E+05
378010.E-03  0.0000E+00  0.0000E+00  1.3333E+03  1.8467E+05
382510.E-03  0.0000E+00  0.0000E+00  8.8890E+02  1.4867E+05
387010.E-03  0.0000E+00  0.0000E+00  6.6667E+02  1.2911E+05
391510.E-03  0.0000E+00  0.0000E+00  1.1111E+03  1.0333E+05
396010.E-03  0.0000E+00  0.0000E+00  6.6667E+02  9.3334E+04
400510.E-03  0.0000E+00  0.0000E+00  4.4445E+02  6.8667E+04
405010.E-03  0.0000E+00  0.0000E+00  6.6667E+02  5.6667E+04
409510.E-03  0.0000E+00  0.0000E+00  4.4445E+02  4.2223E+04
414010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.6889E+04
418510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.3778E+04
423010.E-03  0.0000E+00  0.0000E+00  6.6667E+02  3.0889E+04
427510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.0222E+04
432010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.0222E+04
436510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.3556E+04
441010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.0889E+04
445510.E-03  0.0000E+00  0.0000E+00  4.4445E+02  5.3334E+03
450010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.1111E+03
