DEPTH,Si,C
1.30E+01,0.00E+00,2.79E+07
2.60E+01,0.00E+00,3.73E+07
3.90E+01,7.69E+01,4.36E+07
5.20E+01,3.85E+02,4.76E+07
6.50E+01,6.15E+02,5.11E+07
7.80E+01,1.38E+03,5.43E+07
9.10E+01,2.54E+03,5.67E+07
1.04E+02,5.08E+03,5.90E+07
1.17E+02,5.62E+03,6.16E+07
1.30E+02,8.46E+03,6.38E+07
1.43E+02,1.29E+04,6.60E+07
1.56E+02,1.57E+04,6.82E+07
1.69E+02,2.08E+04,7.07E+07
1.82E+02,2.34E+04,7.28E+07
1.95E+02,2.78E+04,7.53E+07
2.08E+02,3.61E+04,7.74E+07
2.21E+02,3.96E+04,7.96E+07
2.34E+02,5.17E+04,8.20E+07
2.47E+02,5.72E+04,8.40E+07
2.60E+02,6.71E+04,8.61E+07
2.73E+02,7.98E+04,8.82E+07
2.86E+02,8.86E+04,9.01E+07
2.99E+02,1.04E+05,9.19E+07
3.12E+02,1.14E+05,9.35E+07
3.25E+02,1.26E+05,9.56E+07
3.38E+02,1.43E+05,9.65E+07
3.51E+02,1.52E+05,9.75E+07
3.64E+02,1.74E+05,9.81E+07
3.77E+02,1.92E+05,9.88E+07
3.90E+02,2.05E+05,9.86E+07
4.03E+02,2.22E+05,9.83E+07
4.16E+02,2.37E+05,9.77E+07
4.29E+02,2.53E+05,9.65E+07
4.42E+02,2.63E+05,9.48E+07
4.55E+02,2.80E+05,9.22E+07
4.68E+02,2.91E+05,8.93E+07
4.81E+02,3.05E+05,8.62E+07
4.94E+02,3.00E+05,8.22E+07
5.07E+02,3.07E+05,7.83E+07
5.20E+02,3.13E+05,7.39E+07
5.33E+02,3.08E+05,6.90E+07
5.46E+02,2.96E+05,6.42E+07
5.59E+02,2.92E+05,5.87E+07
5.72E+02,2.73E+05,5.34E+07
5.85E+02,2.63E+05,4.83E+07
5.98E+02,2.44E+05,4.33E+07
6.11E+02,2.34E+05,3.80E+07
6.24E+02,2.06E+05,3.32E+07
6.37E+02,1.87E+05,2.89E+07
6.50E+02,1.66E+05,2.44E+07
6.63E+02,1.35E+05,2.07E+07
6.76E+02,1.21E+05,1.74E+07
6.89E+02,1.02E+05,1.43E+07
7.02E+02,8.41E+04,1.17E+07
7.15E+02,6.28E+04,9.47E+06
7.28E+02,5.22E+04,7.56E+06
7.41E+02,3.83E+04,6.02E+06
7.54E+02,3.32E+04,4.76E+06
7.67E+02,2.18E+04,3.70E+06
7.80E+02,1.62E+04,2.83E+06
7.93E+02,1.08E+04,2.17E+06
8.06E+02,7.69E+03,1.71E+06
8.19E+02,5.15E+03,1.32E+06
8.32E+02,3.15E+03,1.01E+06
8.45E+02,1.00E+03,8.36E+05
8.58E+02,1.38E+03,6.87E+05
8.71E+02,1.08E+03,5.39E+05
8.84E+02,3.08E+02,4.39E+05
8.97E+02,1.54E+02,3.46E+05
9.10E+02,1.54E+02,2.79E+05
9.23E+02,7.69E+01,2.18E+05
9.36E+02,0.00E+00,1.89E+05
9.49E+02,0.00E+00,1.53E+05
9.62E+02,7.69E+01,1.24E+05
9.75E+02,0.00E+00,9.08E+04
9.88E+02,0.00E+00,7.42E+04
1.00E+03,0.00E+00,5.49E+04
1.01E+03,0.00E+00,3.72E+04
1.03E+03,0.00E+00,2.55E+04
1.04E+03,0.00E+00,1.84E+04
1.05E+03,0.00E+00,1.64E+04
1.07E+03,0.00E+00,1.32E+04
1.08E+03,0.00E+00,5.31E+03
1.09E+03,0.00E+00,2.23E+03
1.11E+03,0.00E+00,3.38E+03
1.12E+03,0.00E+00,2.23E+03
1.13E+03,0.00E+00,8.46E+02
1.14E+03,0.00E+00,7.69E+01
1.16E+03,0.00E+00,0.00E+00
1.17E+03,0.00E+00,0.00E+00
1.18E+03,0.00E+00,0.00E+00
1.20E+03,0.00E+00,0.00E+00
1.21E+03,0.00E+00,0.00E+00
1.22E+03,0.00E+00,0.00E+00
1.24E+03,0.00E+00,0.00E+00
1.25E+03,0.00E+00,0.00E+00
1.26E+03,0.00E+00,0.00E+00
1.27E+03,0.00E+00,0.00E+00
1.29E+03,0.00E+00,0.00E+00
1.30E+03,0.00E+00,0.00E+00
