DEPTH,Si,C
1.60E+01,5.68E-02,2.53E-01
3.20E+01,6.68E-02,3.42E-01
4.80E+01,6.83E-02,3.86E-01
6.40E+01,6.99E-02,4.17E-01
8.00E+01,7.09E-02,4.42E-01
9.60E+01,7.21E-02,4.67E-01
1.12E+02,7.39E-02,4.86E-01
1.28E+02,7.51E-02,5.04E-01
1.44E+02,7.69E-02,5.20E-01
1.60E+02,7.87E-02,5.43E-01
1.76E+02,8.11E-02,5.62E-01
1.92E+02,8.28E-02,5.82E-01
2.08E+02,8.50E-02,5.98E-01
2.24E+02,8.72E-02,6.14E-01
2.40E+02,8.91E-02,6.33E-01
2.56E+02,9.15E-02,6.52E-01
2.72E+02,9.43E-02,6.72E-01
2.88E+02,9.66E-02,6.92E-01
3.04E+02,9.88E-02,7.11E-01
3.20E+02,1.01E-01,7.32E-01
3.36E+02,1.04E-01,7.49E-01
3.52E+02,1.07E-01,7.67E-01
3.68E+02,1.09E-01,7.82E-01
3.84E+02,1.11E-01,7.94E-01
4.00E+02,1.14E-01,8.12E-01
4.16E+02,1.15E-01,8.27E-01
4.32E+02,1.18E-01,8.40E-01
4.48E+02,1.20E-01,8.50E-01
4.64E+02,1.21E-01,8.61E-01
4.80E+02,1.23E-01,8.68E-01
4.96E+02,1.23E-01,8.72E-01
5.12E+02,1.24E-01,8.69E-01
5.28E+02,1.24E-01,8.64E-01
5.44E+02,1.22E-01,8.55E-01
5.60E+02,1.22E-01,8.43E-01
5.76E+02,1.19E-01,8.25E-01
5.92E+02,1.16E-01,8.04E-01
6.08E+02,1.11E-01,7.74E-01
6.24E+02,1.07E-01,7.44E-01
6.40E+02,1.01E-01,7.07E-01
6.56E+02,9.61E-02,6.69E-01
6.72E+02,9.00E-02,6.27E-01
6.88E+02,8.34E-02,5.81E-01
7.04E+02,7.57E-02,5.32E-01
7.20E+02,6.85E-02,4.80E-01
7.36E+02,6.15E-02,4.32E-01
7.52E+02,5.40E-02,3.81E-01
7.68E+02,4.61E-02,3.33E-01
7.84E+02,3.92E-02,2.87E-01
8.00E+02,3.27E-02,2.44E-01
8.16E+02,2.70E-02,2.05E-01
8.32E+02,2.18E-02,1.70E-01
8.48E+02,1.74E-02,1.38E-01
8.64E+02,1.33E-02,1.10E-01
8.80E+02,9.94E-03,8.70E-02
8.96E+02,7.04E-03,6.71E-02
9.12E+02,5.23E-03,5.23E-02
9.28E+02,3.68E-03,4.02E-02
9.44E+02,2.56E-03,3.14E-02
9.60E+02,1.70E-03,2.35E-02
9.76E+02,1.07E-03,1.76E-02
9.92E+02,6.81E-04,1.34E-02
1.01E+03,4.35E-04,1.03E-02
1.02E+03,2.66E-04,7.79E-03
1.04E+03,1.56E-04,5.91E-03
1.06E+03,8.19E-05,4.61E-03
1.07E+03,4.56E-05,3.79E-03
1.09E+03,3.38E-05,3.01E-03
1.10E+03,1.94E-05,2.36E-03
1.12E+03,1.50E-05,1.79E-03
1.14E+03,8.75E-06,1.35E-03
1.15E+03,8.75E-06,9.85E-04
1.17E+03,1.44E-05,8.52E-04
1.18E+03,4.38E-06,5.39E-04
1.20E+03,0.00E+00,4.36E-04
1.22E+03,0.00E+00,3.01E-04
1.23E+03,0.00E+00,1.96E-04
1.25E+03,0.00E+00,1.69E-04
1.26E+03,0.00E+00,1.35E-04
1.28E+03,0.00E+00,9.63E-05
1.30E+03,0.00E+00,9.63E-05
1.31E+03,0.00E+00,7.19E-05
1.33E+03,0.00E+00,4.19E-05
1.34E+03,0.00E+00,1.13E-05
1.36E+03,0.00E+00,4.38E-06
1.38E+03,0.00E+00,1.88E-06
1.39E+03,0.00E+00,1.06E-05
1.41E+03,0.00E+00,1.88E-06
1.42E+03,0.00E+00,0.00E+00
1.44E+03,0.00E+00,0.00E+00
1.46E+03,0.00E+00,0.00E+00
1.47E+03,0.00E+00,0.00E+00
1.49E+03,0.00E+00,0.00E+00
1.50E+03,0.00E+00,0.00E+00
1.52E+03,0.00E+00,0.00E+00
1.54E+03,0.00E+00,0.00E+00
1.55E+03,0.00E+00,0.00E+00
1.57E+03,0.00E+00,0.00E+00
1.58E+03,0.00E+00,0.00E+00
1.60E+03,0.00E+00,0.00E+00
