DEPTH,Si,C
1.30E+01,6.28E-02,2.71E-01
2.60E+01,7.49E-02,3.61E-01
3.90E+01,7.68E-02,4.17E-01
5.20E+01,7.85E-02,4.53E-01
6.50E+01,7.98E-02,4.84E-01
7.80E+01,8.18E-02,5.15E-01
9.10E+01,8.31E-02,5.37E-01
1.04E+02,8.49E-02,5.58E-01
1.17E+02,8.73E-02,5.83E-01
1.30E+02,8.93E-02,6.02E-01
1.43E+02,9.16E-02,6.23E-01
1.56E+02,9.39E-02,6.44E-01
1.69E+02,9.66E-02,6.68E-01
1.82E+02,9.91E-02,6.88E-01
1.95E+02,1.02E-01,7.10E-01
2.08E+02,1.04E-01,7.30E-01
2.21E+02,1.07E-01,7.51E-01
2.34E+02,1.11E-01,7.75E-01
2.47E+02,1.13E-01,7.91E-01
2.60E+02,1.16E-01,8.13E-01
2.73E+02,1.18E-01,8.31E-01
2.86E+02,1.21E-01,8.50E-01
2.99E+02,1.24E-01,8.67E-01
3.12E+02,1.26E-01,8.83E-01
3.25E+02,1.29E-01,9.01E-01
3.38E+02,1.31E-01,9.10E-01
3.51E+02,1.31E-01,9.18E-01
3.64E+02,1.33E-01,9.22E-01
3.77E+02,1.34E-01,9.31E-01
3.90E+02,1.34E-01,9.28E-01
4.03E+02,1.33E-01,9.24E-01
4.16E+02,1.34E-01,9.19E-01
4.29E+02,1.31E-01,9.06E-01
4.42E+02,1.29E-01,8.89E-01
4.55E+02,1.26E-01,8.65E-01
4.68E+02,1.23E-01,8.37E-01
4.81E+02,1.18E-01,8.05E-01
4.94E+02,1.13E-01,7.68E-01
5.07E+02,1.07E-01,7.32E-01
5.20E+02,1.01E-01,6.88E-01
5.33E+02,9.42E-02,6.43E-01
5.46E+02,8.69E-02,5.95E-01
5.59E+02,7.92E-02,5.44E-01
5.72E+02,7.17E-02,4.94E-01
5.85E+02,6.42E-02,4.46E-01
5.98E+02,5.67E-02,3.99E-01
6.11E+02,4.99E-02,3.50E-01
6.24E+02,4.25E-02,3.05E-01
6.37E+02,3.56E-02,2.64E-01
6.50E+02,2.97E-02,2.23E-01
6.63E+02,2.43E-02,1.89E-01
6.76E+02,2.00E-02,1.58E-01
6.89E+02,1.59E-02,1.29E-01
7.02E+02,1.22E-02,1.06E-01
7.15E+02,9.35E-03,8.47E-02
7.28E+02,7.02E-03,6.80E-02
7.41E+02,5.35E-03,5.35E-02
7.54E+02,3.71E-03,4.23E-02
7.67E+02,2.57E-03,3.29E-02
7.80E+02,1.70E-03,2.50E-02
7.93E+02,1.12E-03,1.91E-02
8.06E+02,7.48E-04,1.53E-02
8.19E+02,4.15E-04,1.15E-02
8.32E+02,2.32E-04,8.90E-03
8.45E+02,1.54E-04,7.47E-03
8.58E+02,1.40E-04,6.17E-03
8.71E+02,5.38E-05,4.78E-03
8.84E+02,3.08E-05,3.86E-03
8.97E+02,1.46E-05,3.12E-03
9.10E+02,7.69E-06,2.44E-03
9.23E+02,6.92E-06,1.93E-03
9.36E+02,4.62E-06,1.71E-03
9.49E+02,6.92E-06,1.37E-03
9.62E+02,0.00E+00,1.03E-03
9.75E+02,0.00E+00,8.02E-04
9.88E+02,0.00E+00,6.35E-04
1.00E+03,0.00E+00,5.11E-04
1.01E+03,0.00E+00,3.18E-04
1.03E+03,0.00E+00,2.02E-04
1.04E+03,0.00E+00,1.62E-04
1.05E+03,0.00E+00,1.45E-04
1.07E+03,0.00E+00,1.04E-04
1.08E+03,0.00E+00,3.54E-05
1.09E+03,0.00E+00,1.62E-05
1.11E+03,0.00E+00,2.92E-05
1.12E+03,0.00E+00,2.00E-05
1.13E+03,0.00E+00,6.15E-06
1.14E+03,0.00E+00,0.00E+00
1.16E+03,0.00E+00,0.00E+00
1.17E+03,0.00E+00,0.00E+00
1.18E+03,0.00E+00,0.00E+00
1.20E+03,0.00E+00,0.00E+00
1.21E+03,0.00E+00,0.00E+00
1.22E+03,0.00E+00,0.00E+00
1.24E+03,0.00E+00,0.00E+00
1.25E+03,0.00E+00,0.00E+00
1.26E+03,0.00E+00,0.00E+00
1.27E+03,0.00E+00,0.00E+00
1.29E+03,0.00E+00,0.00E+00
1.30E+03,0.00E+00,0.00E+00
