W,I
730.34569052617894,49
730.35573248687479,56
730.365774167115,58
730.37581556687712,63
730.38585668613882,58
730.39589752487814,64
730.4059380830721,53
730.41597836069889,59
730.42601835773587,57
730.43605807416088,47
730.44609750995141,55
730.4561366650853,46
730.46617553954013,56
730.47621413329375,58
730.48625244632342,52
730.49629047860731,49
730.50632823012268,57
730.51636570084759,64
730.52640289075941,61
730.536439799836,59
730.5464764280548,61
730.5565127753938,55
730.56654884183058,54
730.57658462734275,47
730.58662013190815,42
730.59665535550437,49
730.60669029810913,45
730.6167249597,57
730.626759340255,55
730.6367934397515,53
730.64682725816738,48
730.65686079548016,44
730.66689405166778,43
730.676927026708,50
730.68695972057822,42
730.69699213325623,43
730.70702426472,42
730.71705611494679,41
730.72708768391487,41
730.73711897160149,42
730.74714997798458,42
730.75718070304185,46
730.767211146751,45
730.77724130908973,51
730.787271190036,42
730.79730078956709,52
730.80733010766107,49
730.81735914429555,55
730.82738789944824,50
730.837416373097,48
730.84744456521946,53
730.85747247579332,56
730.86750010479659,52
730.87752745220666,38
730.88755451800148,49
730.89758130215876,48
730.907607804656,50
730.91763402547144,56
730.92765996458229,59
730.93768562196669,40
730.94771099760237,38
730.957736091467,41
730.96776090353819,46
730.977785433794,48
730.98780968221183,45
730.99783364876987,45
731.00785733344549,41
731.01788073621674,47
731.02790385706112,48
731.03792669595668,49
731.04794925288093,46
731.0579715278119,54
731.06799352072721,47
731.0780152316047,51
731.08803666042206,43
731.09805780715715,47
731.10807867178767,43
731.11809925429145,47
731.12811955464633,47
731.13813957283,51
731.14815930882037,41
731.15817876259518,40
731.16819793413208,41
731.17821682340912,41
731.18823543040389,36
731.19825375509424,46
731.208271797458,44
731.218289557473,47
731.22830703511693,46
731.23832423036765,45
731.24834114320311,49
731.25835777360089,32
731.26837412153884,41
731.2783901869949,47
731.28840596994689,41
731.29842147037255,49
731.30843668824969,40
731.31845162355592,44
731.32846627626941,43
731.33848064636788,31
731.34849473382917,35
731.35850853863087,39
731.36852206075116,42
731.37853530016764,42
731.38854825685814,46
731.39856093080073,48
731.40857332197288,35
731.41858543035278,38
731.42859725591791,45
731.43860879864633,45
731.4486200585161,45
731.4586310355046,49
731.46864172958988,51
731.47865214074977,51
731.48866226896223,41
731.49867211420508,46
731.508681676456,41
731.518690955693,52
731.52869995189394,49
731.53870866503644,47
731.54871709509871,44
731.55872524205859,43
731.56873310589344,47
731.5787406865818,43
731.58874798410113,44
731.59875499842929,47
731.6087617295442,43
731.618768177424,46
731.6287743420462,48
731.638780223389,45
731.6487858214299,47
731.658791136147,45
731.66879616751817,47
731.67880091552138,52
731.68880538013423,55
731.69880956133488,53
731.70881345910107,61
731.71881707341083,75
731.72882040424179,88
731.7388234515721,98
731.74882621537949,98
731.75882869564214,99
731.76883089233752,89
731.77883280544381,64
731.788834434939,57
731.79883578080069,48
731.80883684300682,48
731.81883762153541,46
731.82883811636464,53
731.838838327472,56
731.84883825483553,48
731.85883789843308,45
731.86883725824271,42
731.87883633424235,47
731.88883512640973,47
731.89883363472291,57
731.90883185915993,34
731.91882979969841,38
731.92882745631653,37
731.93882482899187,42
731.94882191770284,46
731.958818722427,46
731.96881524314279,43
731.9788114798273,43
731.98880743245923,39
731.99880310101616,33
732.00879848547606,38
732.018793585817,40
732.02878840201674,42
732.03878293405342,42
732.04877718190471,44
732.058771145549,47
732.06876482496386,51
732.07875822012727,48
732.08875133101731,48
732.0987441576118,48
732.108736699889,47
732.11872895782653,47
732.12872093140277,49
732.138712620595,40
732.14870402538179,49
732.15869514574092,42
732.16868598165024,48
732.17867653308792,47
732.1886668000318,46
732.19865678245969,53
732.2086464803499,36
732.21863589368036,41
732.22862502242879,39
732.23861386657347,36
732.24860242609213,41
732.25859070096294,44
732.26857869116373,45
732.27856639667277,47
732.28855381746757,45
732.29854095352664,43
732.30852780482769,44
732.31851437134867,46
732.32850065306775,41
732.33848664996276,47
732.34847236201188,46
732.35845778919293,42
732.36844293148408,43
732.37842778886329,40
732.38841236130838,46
732.39839664879753,49
732.4083806513089,41
732.41836436882011,45
732.42834780130966,39
732.438330948755,41
732.44831381113465,46
732.45829638842645,41
732.46827868060836,52
732.47826068765846,39
732.48824240955469,40
732.49822384627532,35
732.508204997798,31
732.51818586410093,39
732.52816644516224,40
732.53814674096,43
732.54812675147207,42
732.5581064766767,32
732.56808591655158,38
732.57806507107523,37
732.58804394022525,40
732.59802252397981,40
732.60800082231708,35
732.6179788352149,38
732.62795656265155,45
732.6379340046052,47
732.64791116105334,40
732.65788803197461,39
732.66786461734682,41
732.67784091714782,38
732.68781693135611,44
732.69779265994941,46
732.707768102906,40
732.71774326020386,43
732.72771813182112,44
732.73769271773563,47
732.74766701792555,47
732.75764103236918,24
732.76761476104434,33
732.77758820392921,43
732.78756136100185,51
732.79753423224042,49
732.80750681762288,44
732.81747911712739,42
732.8274511307319,46
732.83742285841458,49
732.84739430015372,51
732.857365455927,47
732.86733632571293,39
732.87730690948933,35
732.88727720723443,48
732.89724721892628,44
732.90721694454294,48
732.91718638406257,53
732.92715553746325,52
732.93712440472314,56
732.94709298582018,53
732.95706128073277,46
732.96702928943876,53
732.97699701191641,56
732.98696444814368,55
732.99693159809874,49
733.00689846175987,49
733.01686503910491,49
733.02683133011237,50
733.03679733476,58
733.0467630530261,53
733.05672848488882,52
733.06669363032609,54
733.07665848931629,57
733.08662306183737,55
733.09658734786763,53
733.10655134738488,55
733.11651506036776,57
733.1264784867941,55
733.13644162664207,57
733.14640447988961,57
733.15636704651536,57
733.166329326497,57
733.176291319813,58
733.18625302644125,59
733.19621444636,59
733.20617557954768,46
733.21613642598186,56
733.22609698564122,51
733.23605725850371,53
733.24601724454749,52
733.25597694375074,45
733.26593635609163,58
733.27589548154833,56
733.28585432009891,57
733.29581287172175,58
733.30577113639492,57
733.3157291140966,56
733.32568680480472,53
733.3356442084978,53
733.34560132515389,50
733.35555815475129,49
733.36551469726794,59
733.37547095268212,63
733.38542692097212,65
733.395382602116,63
733.40533799609216,58
733.41529310287842,54
733.42524792245331,63
733.435202454795,64
733.44515669988141,69
733.455110657691,49
733.46506432820183,58
733.47501771139207,54
733.4849708072403,56
733.49492361572425,54
733.5048761368223,53
733.51482837051276,57
733.52478031677379,58
733.53473197558344,53
733.54468334692012,53
733.55463443076212,53
733.56458522708726,56
733.57453573587418,52
733.58448595710092,50
733.59443589074579,48
733.60438553678682,44
733.61433489520255,56
733.6242839659709,55
733.63423274907018,56
733.64418124447877,58
733.65412945217474,54
733.66407737213638,54
733.674025004342,50
733.68397234876977,50
733.69391940539788,59
733.70386617420479,53
733.71381265516857,55
733.72375884826738,53
733.73370475347963,57
733.7436503707836,51
733.75359570015723,50
733.76354074157928,52
733.77348549502767,46
733.78342996048048,48
733.79337413791654,47
733.80331802731359,52
733.81326162865,46
733.82320494190424,44
733.83314796705463,55
733.843090704079,59
733.85303315295607,59
733.86297531366381,51
733.87291718618064,51
733.88285877048486,52
733.89280006655463,52
733.90274107436835,48
733.91268179390431,56
733.92262222514069,59
733.93256236805576,57
733.94250222262792,51
733.95244178883536,62
733.96238106665646,61
733.97232005606952,52
733.9822587570527,49
733.99219716958441,55
734.00213529364294,47
734.01207312920656,48
734.02201067625344,48
734.03194793476223,57
734.04188490471086,51
734.051821586078,48
734.06175797884157,47
734.07169408298,52
734.08162989847187,51
734.09156542529524,56
734.10150066342851,50
734.11143561285,51
734.12137027353788,46
734.13130464547066,49
734.14123872862672,54
734.15117252298421,53
734.16110602852132,53
734.17103924521666,52
734.18097217304853,55
734.19090481199532,54
734.2008371620351,51
734.21076922314649,43
734.22070099530742,41
734.23063247849677,51
734.24056367269259,47
734.25049457787293,50
734.26042519401665,54
734.270355521102,49
734.28028555910726,53
734.2902153080106,52
734.3001447677907,52
734.31007393842549,51
734.3200028198936,51
734.32993141217355,50
734.33985971524328,48
734.34978772908153,40
734.35971545366658,42
734.36964288897661,42
734.37957003499014,40
734.38949689168555,40
734.399423459041,39
734.4093497370352,43
734.41927572564623,46
734.42920142485275,49
734.43912683463293,48
734.44905195496506,51
734.45897678582787,52
734.46890132719921,51
734.478825579058,55
734.48874954138262,61
734.49867321415093,58
734.50859659734181,61
734.51851969093332,58
734.52844249490408,65
734.53836500923262,57
734.548287233897,55
734.55820916887581,45
734.56813081414725,50
734.57805216969007,51
734.58797323548242,50
734.59789401150272,54
734.60781449772946,43
734.61773469414118,44
734.62765460071591,44
734.63757421743242,47
734.647493544269,50
734.65741258120408,45
734.66733132821594,39
734.67724978528315,42
734.68716795238424,52
734.6970858294975,51
734.70700341660131,38
734.71692071367409,34
734.72683772069445,42
734.73675443764068,46
734.74667086449119,44
734.75658700122449,52
734.766502847819,40
734.77641840425315,52
734.78633367050543,42
734.7962486465542,50
734.80616333237788,47
734.81607772795519,44
734.8259918332642,40
734.83590564828364,39
734.84581917299181,44
734.85573240736721,45
734.86564535138837,45
734.87555800503355,52
734.88547036828152,54
734.89538244111043,52
734.90529422349891,49
734.91520571542537,50
734.92511691686832,55
734.93502782780627,49
734.94493844821761,48
734.95484877808087,45
734.96475881737445,45
734.97466856607684,47
734.98457802416658,69
734.994487191622,70
735.00439606842178,68
735.01430465454439,63
735.02421294996816,56
735.03412095467183,56
735.04402866863359,56
735.05393609183216,48
735.06384322424583,50
