   DEPTH         Ga          O         Si          C    
   (Ang.)       Ions     Tgt. Atoms  Tgt. Atoms  Tgt. Atoms
-----------  ----------  ----------  ----------  ----------
440010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.8364E+04
445510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.2182E+04
451010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.8182E+03
456510.E-03  0.0000E+00  1.8182E+02  0.0000E+00  3.0909E+03
462010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.7273E+03
467510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.8182E+03
473010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.4546E+02
478510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.4546E+03
484010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  9.0910E+02
489510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.6364E+03
495010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.6364E+02
500510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.8182E+02
506010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
511510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
517010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
522510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
528010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
533510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
539010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
544510.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
550010.E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
