,high,mid,low
0,0.366540933,0.189168619,0.066464559
1,0.502537672,0.368348506,0.301265236
2,0.13877067,0.05764821,0.059489409
3,0.220366688,0.145190942,0.026130237
4,0.225514816,0.09721327,0.063920764
5,0.572742797,0.491191708,0.305537692
6,0.616205441,0.564636225,0.499122917
7,0.748710657,0.659574019,0.621973306
8,0.711975458,0.643969411,0.51620455
9,0.647065107,0.605336518,0.624984986
