DEPTH_0,Ga,Sn,C,DEPTH
2.00E+02,1.10E+05,8.85E+07,5.71E+06,0.00E+00
2.04E+02,1.10E+05,3.14E+07,9.25E+07,4.00E-01
2.08E+02,1.65E+05,3.35E+07,1.36E+08,8.00E-01
2.12E+02,2.15E+05,2.55E+07,1.36E+08,1.20E+00
2.16E+02,2.52E+05,1.39E+07,1.24E+08,1.60E+00
2.20E+02,2.73E+05,7.14E+06,1.12E+08,2.00E+00
2.24E+02,3.04E+05,3.96E+06,1.02E+08,2.40E+00
2.28E+02,3.04E+05,2.43E+06,9.48E+07,2.80E+00
2.32E+02,2.90E+05,1.53E+06,8.88E+07,3.20E+00
2.36E+02,3.07E+05,1.03E+06,8.33E+07,3.60E+00
2.40E+02,3.46E+05,7.16E+05,7.85E+07,4.00E+00
2.44E+02,3.29E+05,5.01E+05,7.41E+07,4.40E+00
2.48E+02,3.35E+05,3.42E+05,7.06E+07,4.80E+00
2.52E+02,3.39E+05,2.42E+05,6.69E+07,5.20E+00
2.56E+02,3.49E+05,1.62E+05,6.32E+07,5.60E+00
2.60E+02,3.32E+05,1.21E+05,5.96E+07,6.00E+00
2.64E+02,3.31E+05,8.70E+04,5.59E+07,6.40E+00
2.68E+02,3.26E+05,5.93E+04,5.25E+07,6.80E+00
2.72E+02,3.44E+05,3.73E+04,4.91E+07,7.20E+00
2.76E+02,3.13E+05,2.13E+04,4.56E+07,7.60E+00
2.80E+02,3.27E+05,1.43E+04,4.21E+07,8.00E+00
2.84E+02,3.16E+05,9.75E+03,3.87E+07,8.40E+00
2.88E+02,2.94E+05,6.00E+03,3.56E+07,8.80E+00
2.92E+02,2.82E+05,3.50E+03,3.24E+07,9.20E+00
2.96E+02,2.74E+05,1.00E+03,2.93E+07,9.60E+00
3.00E+02,2.54E+05,7.50E+02,2.65E+07,1.00E+01
3.04E+02,2.31E+05,0.00E+00,2.39E+07,1.04E+01
3.08E+02,2.23E+05,2.50E+02,2.13E+07,1.08E+01
3.12E+02,1.98E+05,0.00E+00,1.91E+07,1.12E+01
3.16E+02,1.88E+05,2.50E+02,1.69E+07,1.16E+01
3.20E+02,1.71E+05,2.50E+02,1.50E+07,1.20E+01
3.24E+02,1.41E+05,0.00E+00,1.33E+07,1.24E+01
3.28E+02,1.36E+05,0.00E+00,1.17E+07,1.28E+01
3.32E+02,1.30E+05,0.00E+00,1.01E+07,1.32E+01
3.36E+02,1.02E+05,0.00E+00,8.67E+06,1.36E+01
3.40E+02,8.95E+04,0.00E+00,7.31E+06,1.40E+01
3.44E+02,7.85E+04,0.00E+00,6.41E+06,1.44E+01
3.48E+02,6.28E+04,0.00E+00,5.52E+06,1.48E+01
3.52E+02,5.45E+04,0.00E+00,4.68E+06,1.52E+01
3.56E+02,4.65E+04,0.00E+00,4.03E+06,1.56E+01
3.60E+02,4.23E+04,0.00E+00,3.50E+06,1.60E+01
3.64E+02,3.38E+04,0.00E+00,2.92E+06,1.64E+01
3.68E+02,3.18E+04,0.00E+00,2.50E+06,1.68E+01
3.72E+02,2.18E+04,0.00E+00,2.13E+06,1.72E+01
3.76E+02,2.05E+04,0.00E+00,1.79E+06,1.76E+01
3.80E+02,1.73E+04,0.00E+00,1.52E+06,1.80E+01
3.84E+02,1.20E+04,0.00E+00,1.26E+06,1.84E+01
3.88E+02,1.20E+04,0.00E+00,1.06E+06,1.88E+01
3.92E+02,7.75E+03,0.00E+00,9.22E+05,1.92E+01
3.96E+02,4.25E+03,0.00E+00,7.23E+05,1.96E+01
4.00E+02,6.75E+03,0.00E+00,5.38E+05,2.00E+01
