====== Si (70) into Diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 90 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 614440.E-03 A   Straggling = 153836.E-03 A
 Ion Lateral Range = 109536.E-03 A   Straggling = 137657.E-03 A
 Ion Radial  Range = 164793.E-03 A   Straggling = 878984.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
9760100.E-04 10856548.E-05 13234698.E-05 16108460.E-05 84740044.E-06 
9920100.E-04 95738146.E-06 12244804.E-05 14233987.E-05 77616751.E-06 
1008010.E-03 92145548.E-06 11846286.E-05 14007873.E-05 73271249.E-06 
1024010.E-03 94339052.E-06 12113890.E-05 14067638.E-05 86501915.E-06 
1040010.E-03 98738228.E-06 11904986.E-05 13889165.E-05 81695474.E-06 
1056010.E-03 80558605.E-06 10551373.E-05 12837611.E-05 67306519.E-06 
1072010.E-03 10827526.E-05 12674663.E-05 18659541.E-05 76036067.E-06 
1088010.E-03 14772810.E-05 16146086.E-05 17219619.E-05 44534309.E-06 
1104010.E-03 99036063.E-07 12255515.E-06 86272289.E-06 76945850.E-06 
1120010.E-03 24248615.E-05 30198811.E-05 28532354.E-05 20047394.E-05 
1136010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1152010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1168010.E-03 70940901.E-06 71334552.E-06 10952004.E-05 15609646.E-07 
1184010.E-03 54432641.E-06 54432641.E-06 14420511.E-05 00000000.E+00 
1200010.E-03 12485403.E-05 12485403.E-05 12486202.E-05 00000000.E+00 
1216010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1232010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1248010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1264010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1280010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1296010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1312010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1328010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1344010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1360010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1376010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1392010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1408010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1424010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1440010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1456010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1472010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1488010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1504010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1520010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1536010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1552010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1568010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1584010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1600010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
