region,PL,PLE
918,1,1
915,1,1
912,20096,7337.661753
99,67842,23221.05984
96,95446,29799.04915
93,190525,22594.30238
318,466442.8571,38532.88021
315,634440,20712.14619
312,619125,29338.527
39,515640,43988.78266
36,535900,59236.89729
33,714857.1429,72805.07897
