x,y
2740000000,1.000297131
2741000000,0.999832755
2742000000,1.00005048
2743000000,1.000255943
2744000000,0.999704974
2745000000,0.999935606
2746000000,1.00037522
2747000000,0.999236748
2748000000,1.000174584
2749000000,0.999759423
2750000000,0.999264079
2751000000,0.999013934
2752000000,0.998272944
2753000000,0.999480544
2754000000,0.998371621
2755000000,0.999535018
2756000000,1.00003192
2757000000,0.999656802
2758000000,0.99972079
2759000000,0.997778068
2760000000,0.999483597
2761000000,0.999164277
2762000000,0.997464613
2763000000,1.000029753
2764000000,0.995953091
2765000000,0.997457145
2766000000,0.997589284
2767000000,0.996001745
2768000000,0.996419173
2769000000,0.996164021
2770000000,0.99407614
2771000000,0.994457985
2772000000,0.993393187
2773000000,0.992434125
2774000000,0.992339944
2775000000,0.98984649
2776000000,0.989312102
2777000000,0.986336677
2778000000,0.985259054
2779000000,0.986448994
2780000000,0.986786082
2781000000,0.986785607
2782000000,0.986039081
2783000000,0.987177423
2784000000,0.986412576
2785000000,0.987212012
2786000000,0.989579046
2787000000,0.989126035
2788000000,0.98677957
2789000000,0.985175054
2790000000,0.983879395
2791000000,0.980712681
2792000000,0.98025545
2793000000,0.980065228
2794000000,0.979248138
2795000000,0.98084498
2796000000,0.983530415
2797000000,0.985291566
2798000000,0.986825116
2799000000,0.988926022
2800000000,0.989690284
2801000000,0.992568819
2802000000,0.994538874
2803000000,0.99569174
2804000000,0.995371274
2805000000,0.995196882
2806000000,0.997901298
2807000000,0.997973119
2808000000,0.997715374
2809000000,0.997462686
2810000000,0.998684007
2811000000,0.998917831
2812000000,0.999790219
2813000000,0.998476944
2814000000,0.998469809
2815000000,0.99894231
2816000000,0.999051361
2817000000,0.998845022
2818000000,0.999182125
2819000000,0.999232902
2820000000,0.998573365
