x,y
2740000000,0.999096777
2742000000,1.001135907
2744000000,0.998722786
2746000000,0.998958263
2748000000,0.998978201
2750000000,0.998879777
2752000000,0.999935851
2754000000,1.000486662
2756000000,0.999452988
2758000000,1.002121183
2760000000,1.000513457
2762000000,0.996944694
2764000000,1.000406568
2766000000,0.999389142
2768000000,0.999440987
2770000000,0.996005038
2772000000,0.995278996
2774000000,0.998529446
2776000000,0.997722315
2778000000,0.99081421
2780000000,0.989751637
2782000000,0.988805925
2784000000,0.987443762
2786000000,0.991627813
2788000000,0.986976197
2790000000,0.979450519
2792000000,0.978915592
2794000000,0.9822398
2796000000,0.985401365
2798000000,0.989979425
2800000000,0.992167514
2802000000,0.99491527
2804000000,0.999830994
2806000000,0.99703105
2808000000,0.999597665
2810000000,1.000056914
2812000000,1.000598843
2814000000,0.998029062
2816000000,0.999600257
2818000000,0.998456097
2820000000,0.998954226
