x,y
2740000000,0.998459316
2742000000,0.997455542
2744000000,0.999470507
2746000000,0.998084373
2748000000,0.997240478
2750000000,0.998726209
2752000000,1.000823232
2754000000,0.999259029
2756000000,1.001098749
2758000000,0.999433392
2760000000,0.997563565
2762000000,0.999772529
2764000000,0.99747375
2766000000,1.001572263
2768000000,0.995186722
2770000000,0.993358571
2772000000,0.996252685
2774000000,0.987573973
2776000000,0.986004498
2778000000,0.980183785
2780000000,0.983375665
2782000000,0.98851778
2784000000,0.98635863
2786000000,0.985471573
2788000000,0.984917017
2790000000,0.979857612
2792000000,0.978092795
2794000000,0.982281487
2796000000,0.991376337
2798000000,0.996744537
2800000000,0.995158801
2802000000,0.997026054
2804000000,1.001189392
2806000000,0.997528349
2808000000,1.000614146
2810000000,1.001178688
2812000000,0.999508098
2814000000,0.996646311
2816000000,0.999237117
2818000000,0.997796985
2820000000,1.000507741
