x,y
2740000000,0.99869235
2742000000,0.998788385
2744000000,0.999788104
2746000000,1.000819375
2748000000,1.001397894
2750000000,0.996957113
2752000000,0.999738086
2754000000,0.99773821
2756000000,0.997403821
2758000000,0.997879472
2760000000,1.000760481
2762000000,1.001174151
2764000000,0.999649733
2766000000,0.997462824
2768000000,0.99604344
2770000000,0.997881061
2772000000,0.993385232
2774000000,0.992850881
2776000000,0.983467898
2778000000,0.981449973
2780000000,0.977768994
2782000000,0.984900982
2784000000,0.987781681
2786000000,0.993707091
2788000000,0.986945713
2790000000,0.980081085
2792000000,0.980005753
2794000000,0.981651528
2796000000,0.983509794
2798000000,0.991389592
2800000000,0.99310626
2802000000,0.995590948
2804000000,0.996470428
2806000000,1.000814309
2808000000,1.00166717
2810000000,0.998127221
2812000000,1.000368169
2814000000,0.996670863
2816000000,1.000129846
2818000000,0.999148379
2820000000,0.997852717
