DEPTH	Ga	O	Si	C
8.19E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.28E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.37E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.46E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.55E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.64E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.73E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.82E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
8.91E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
9.00E+02	0.00E+00	0.00E+00	0.00E+00	0.00E+00
