DEPTH         Ga            O           Si            C       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
711010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
720010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
729010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
738010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
747010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
756010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
765010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
774010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
783010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
792010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
801010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
810010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
819010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
828010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
837010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
846010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
855010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
864010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
873010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
882010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
891010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2.666667  eV/Vacancy
