DEPTH,Ga,Si,O,C
7.74E+02,3.53E+02,0.00E+00,9.41E+02,8.52E+05
7.82E+02,0.00E+00,1.18E+02,1.18E+03,7.43E+05
7.91E+02,0.00E+00,0.00E+00,7.06E+02,6.14E+05
7.99E+02,0.00E+00,0.00E+00,9.41E+02,5.26E+05
8.08E+02,0.00E+00,0.00E+00,5.88E+02,4.51E+05
8.16E+02,0.00E+00,1.18E+02,3.53E+02,4.09E+05
8.25E+02,0.00E+00,1.18E+02,2.35E+02,3.54E+05
8.33E+02,0.00E+00,0.00E+00,5.88E+02,3.05E+05
8.42E+02,0.00E+00,0.00E+00,8.24E+02,2.42E+05
8.50E+02,0.00E+00,1.18E+02,1.18E+02,1.91E+05
