====== Ga (30) into Diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 50 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 355265.E-03 A   Straggling = 100272.E-03 A
 Ion Lateral Range = 686622.E-04 A   Straggling = 866272.E-04 A
 Ion Radial  Range = 104300.E-03 A   Straggling = 564612.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1001000.E-05 56010955.E-06 56010955.E-06 56565023.E-06 00000000.E+00 
2001000.E-05 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3001000.E-05 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4001000.E-05 36666215.E-06 63849680.E-06 44996029.E-06 48672132.E-06 
5001000.E-05 26622608.E-06 33946911.E-06 54381895.E-06 43879334.E-06 
6001000.E-05 32630139.E-06 43424263.E-06 53765678.E-06 41830417.E-06 
7001000.E-05 30471243.E-06 40517847.E-06 50470900.E-06 40153852.E-06 
8001000.E-05 34781562.E-06 47363714.E-06 56835529.E-06 44194924.E-06 
9001000.E-05 36178052.E-06 47470994.E-06 55605665.E-06 34246552.E-06 
1000100.E-04 42162899.E-06 54485231.E-06 67352349.E-06 41402965.E-06 
1100100.E-04 43646186.E-06 55623620.E-06 66116378.E-06 40480764.E-06 
1200100.E-04 40390987.E-06 52635784.E-06 63623018.E-06 37960997.E-06 
1300100.E-04 43859891.E-06 56712245.E-06 67423799.E-06 39114685.E-06 
1400100.E-04 48892611.E-06 63151379.E-06 76540021.E-06 45100282.E-06 
1500100.E-04 48879754.E-06 63345208.E-06 75180123.E-06 47717710.E-06 
1600100.E-04 52316337.E-06 68391443.E-06 77552267.E-06 47470379.E-06 
1700100.E-04 51582553.E-06 66234813.E-06 78347438.E-06 46377905.E-06 
1800100.E-04 53826644.E-06 70389230.E-06 83398045.E-06 49140665.E-06 
1900100.E-04 53614153.E-06 69399721.E-06 83718934.E-06 49321223.E-06 
2000100.E-04 57920807.E-06 73248820.E-06 89316888.E-06 50708733.E-06 
2100100.E-04 58963859.E-06 76591265.E-06 88983956.E-06 52270196.E-06 
2200100.E-04 59875398.E-06 76312056.E-06 91288148.E-06 50428608.E-06 
2300100.E-04 59561962.E-06 76074146.E-06 91440812.E-06 51953693.E-06 
2400100.E-04 63373352.E-06 81013766.E-06 95810313.E-06 54586606.E-06 
