DEPTH_0,Ga,Sn,C,DEPTH
2.50E+02,9.20E+04,5.60E+07,3.01E+06,0.00E+00
2.55E+02,8.56E+04,1.90E+07,5.59E+07,5.00E-01
2.60E+02,1.36E+05,1.90E+07,7.96E+07,1.00E+00
2.65E+02,1.81E+05,1.09E+07,7.26E+07,1.50E+00
2.70E+02,2.13E+05,4.72E+06,6.32E+07,2.00E+00
2.75E+02,2.13E+05,2.24E+06,5.60E+07,2.50E+00
2.80E+02,2.19E+05,1.20E+06,5.02E+07,3.00E+00
2.85E+02,2.23E+05,7.10E+05,4.56E+07,3.50E+00
2.90E+02,2.24E+05,4.10E+05,4.20E+07,4.00E+00
2.95E+02,2.31E+05,2.64E+05,3.87E+07,4.50E+00
3.00E+02,2.30E+05,1.63E+05,3.55E+07,5.00E+00
3.05E+02,2.16E+05,9.00E+04,3.27E+07,5.50E+00
3.10E+02,2.13E+05,6.24E+04,2.99E+07,6.00E+00
3.15E+02,2.02E+05,3.72E+04,2.71E+07,6.50E+00
3.20E+02,1.99E+05,1.74E+04,2.43E+07,7.00E+00
3.25E+02,1.95E+05,1.08E+04,2.18E+07,7.50E+00
3.30E+02,1.90E+05,6.40E+03,1.94E+07,8.00E+00
3.35E+02,1.74E+05,1.60E+03,1.69E+07,8.50E+00
3.40E+02,1.64E+05,1.40E+03,1.46E+07,9.00E+00
3.45E+02,1.36E+05,6.00E+02,1.26E+07,9.50E+00
3.50E+02,1.19E+05,8.00E+02,1.09E+07,1.00E+01
3.55E+02,1.17E+05,6.00E+02,9.32E+06,1.05E+01
3.60E+02,9.20E+04,0.00E+00,7.82E+06,1.10E+01
3.65E+02,8.60E+04,0.00E+00,6.51E+06,1.15E+01
3.70E+02,7.22E+04,0.00E+00,5.38E+06,1.20E+01
3.75E+02,5.94E+04,0.00E+00,4.45E+06,1.25E+01
3.80E+02,5.34E+04,0.00E+00,3.66E+06,1.30E+01
3.85E+02,4.44E+04,0.00E+00,2.95E+06,1.35E+01
3.90E+02,3.56E+04,0.00E+00,2.35E+06,1.40E+01
3.95E+02,2.70E+04,0.00E+00,1.89E+06,1.45E+01
4.00E+02,2.14E+04,0.00E+00,1.54E+06,1.50E+01
4.05E+02,1.82E+04,0.00E+00,1.22E+06,1.55E+01
4.10E+02,1.16E+04,0.00E+00,1.00E+06,1.60E+01
4.15E+02,9.80E+03,0.00E+00,8.16E+05,1.65E+01
4.20E+02,7.20E+03,0.00E+00,6.51E+05,1.70E+01
4.25E+02,4.60E+03,0.00E+00,4.86E+05,1.75E+01
4.30E+02,2.80E+03,0.00E+00,3.73E+05,1.80E+01
4.35E+02,2.00E+03,0.00E+00,2.90E+05,1.85E+01
4.40E+02,2.20E+03,0.00E+00,2.48E+05,1.90E+01
4.45E+02,1.00E+03,0.00E+00,2.09E+05,1.95E+01
4.50E+02,6.00E+02,0.00E+00,1.69E+05,2.00E+01
4.55E+02,8.00E+02,0.00E+00,1.41E+05,2.05E+01
4.60E+02,2.00E+02,0.00E+00,1.06E+05,2.10E+01
4.65E+02,4.00E+02,0.00E+00,7.44E+04,2.15E+01
4.70E+02,0.00E+00,0.00E+00,6.56E+04,2.20E+01
4.75E+02,0.00E+00,0.00E+00,5.28E+04,2.25E+01
4.80E+02,0.00E+00,0.00E+00,4.34E+04,2.30E+01
4.85E+02,0.00E+00,0.00E+00,2.92E+04,2.35E+01
4.90E+02,0.00E+00,0.00E+00,2.76E+04,2.40E+01
4.95E+02,0.00E+00,0.00E+00,2.52E+04,2.45E+01
5.00E+02,0.00E+00,0.00E+00,1.82E+04,2.50E+01
