DEPTH_0,Ga,Sn,C,DEPTH
1.50E+02,9.41E-02,1.63E+00,0.00E+00,0.00E+00
1.56E+02,2.84E-01,0.00E+00,2.29E+00,6.00E-01
1.62E+02,2.63E-01,0.00E+00,1.98E+00,1.20E+00
1.68E+02,2.54E-01,0.00E+00,1.68E+00,1.80E+00
1.74E+02,2.44E-01,0.00E+00,1.49E+00,2.40E+00
1.80E+02,2.34E-01,0.00E+00,1.36E+00,3.00E+00
1.86E+02,2.25E-01,0.00E+00,1.26E+00,3.60E+00
1.92E+02,2.13E-01,0.00E+00,1.18E+00,4.20E+00
1.98E+02,2.03E-01,0.00E+00,1.11E+00,4.80E+00
2.04E+02,1.90E-01,0.00E+00,1.04E+00,5.40E+00
2.10E+02,1.79E-01,0.00E+00,9.77E-01,6.00E+00
2.16E+02,1.67E-01,0.00E+00,9.17E-01,6.60E+00
2.22E+02,1.53E-01,0.00E+00,8.49E-01,7.20E+00
2.28E+02,1.41E-01,0.00E+00,7.81E-01,7.80E+00
2.34E+02,1.27E-01,0.00E+00,7.13E-01,8.40E+00
2.40E+02,1.12E-01,0.00E+00,6.45E-01,9.00E+00
2.46E+02,9.82E-02,0.00E+00,5.74E-01,9.60E+00
2.52E+02,8.50E-02,0.00E+00,5.04E-01,1.02E+01
2.58E+02,7.20E-02,0.00E+00,4.38E-01,1.08E+01
2.64E+02,6.07E-02,0.00E+00,3.79E-01,1.14E+01
2.70E+02,5.07E-02,0.00E+00,3.18E-01,1.20E+01
2.76E+02,4.20E-02,0.00E+00,2.69E-01,1.26E+01
2.82E+02,3.38E-02,0.00E+00,2.27E-01,1.32E+01
2.88E+02,2.66E-02,0.00E+00,1.87E-01,1.38E+01
2.94E+02,2.10E-02,0.00E+00,1.54E-01,1.44E+01
3.00E+02,1.63E-02,0.00E+00,1.25E-01,1.50E+01
3.06E+02,1.22E-02,0.00E+00,1.00E-01,1.56E+01
3.12E+02,9.27E-03,0.00E+00,8.00E-02,1.62E+01
3.18E+02,6.80E-03,0.00E+00,6.36E-02,1.68E+01
3.24E+02,4.80E-03,0.00E+00,5.07E-02,1.74E+01
3.30E+02,3.39E-03,0.00E+00,4.08E-02,1.80E+01
3.36E+02,2.44E-03,0.00E+00,3.19E-02,1.86E+01
3.42E+02,1.64E-03,0.00E+00,2.52E-02,1.92E+01
3.48E+02,1.11E-03,0.00E+00,1.97E-02,1.98E+01
