====== Ga (30) into Diamond                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 10 keV
 Total Ions calculated =99999.00
============= TARGET MATERIAL ======================================
Layer  1 : Diamond
Layer Width = 40000.E-02 AAA ;
  Layer # 1- Density = 17.59E22 atoms/cm3 = 3.51 g/cm3
  Layer # 1-  C = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 896694.E-04 A   Straggling = 302459.E-04 A
 Ion Lateral Range = 207456.E-04 A   Straggling = 262531.E-04 A
 Ion Radial  Range = 318383.E-04 A   Straggling = 174310.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4010000.E-06 11757236.E-06 11757236.E-06 26328995.E-06 00000000.E+00 
8010000.E-06 15211622.E-06 18543638.E-06 22308612.E-06 77561412.E-07 
1201000.E-05 24878879.E-06 29053345.E-06 33272736.E-06 14454471.E-06 
1601000.E-05 14839114.E-06 18860158.E-06 25440644.E-06 12519633.E-06 
2001000.E-05 16301537.E-06 20776919.E-06 25655880.E-06 12773908.E-06 
2401000.E-05 14590758.E-06 19140408.E-06 22891724.E-06 12741603.E-06 
2801000.E-05 15138870.E-06 19602922.E-06 23130802.E-06 13521264.E-06 
3201000.E-05 15856679.E-06 19839067.E-06 24174650.E-06 13300889.E-06 
3601000.E-05 15448850.E-06 19755946.E-06 24338537.E-06 13728692.E-06 
4001000.E-05 16232549.E-06 20703729.E-06 24877984.E-06 13886691.E-06 
4401000.E-05 16608892.E-06 21231679.E-06 25574241.E-06 14287042.E-06 
4801000.E-05 17196815.E-06 21895954.E-06 26270066.E-06 14807920.E-06 
5201000.E-05 17278695.E-06 21800587.E-06 26695659.E-06 14442740.E-06 
5601000.E-05 18164937.E-06 23124090.E-06 27854202.E-06 15914892.E-06 
6001000.E-05 18426495.E-06 23267619.E-06 28045006.E-06 15671335.E-06 
6401000.E-05 19209704.E-06 24272442.E-06 29377232.E-06 16043214.E-06 
6801000.E-05 19419306.E-06 24589493.E-06 29827679.E-06 16229928.E-06 
7201000.E-05 19534215.E-06 24706250.E-06 30255282.E-06 16740586.E-06 
7601000.E-05 20164830.E-06 25400876.E-06 31055595.E-06 17007750.E-06 
8001000.E-05 20627813.E-06 26034765.E-06 31542321.E-06 17017720.E-06 
8401000.E-05 20480948.E-06 25873768.E-06 31552541.E-06 17125553.E-06 
8801000.E-05 21225526.E-06 26604360.E-06 32073888.E-06 17228294.E-06 
9201000.E-05 20942591.E-06 26416686.E-06 32406289.E-06 17295779.E-06 
9601000.E-05 21994738.E-06 27642403.E-06 33458639.E-06 17993186.E-06 
